mpg,cylinders,horsepower,weight,acceleration,model_year,origin
18,8,130,3504,12,70,usa
15,8,165,3693,11.5,70,usa
18,8,150,3436,11,70,usa
16,8,150,3433,12,70,usa
15,8,190,3850,8.5,70,usa
15,8,170,3563,10,70,usa
15,8,150,3761,9.5,70,usa
14,8,225,3086,10,70,usa
24,4,95,2372,15,70,japan
22,6,95,2833,15.5,70,usa
21,6,85,2587,16,70,usa
27,4,88,2130,14.5,70,japan
26,4,46,1835,20.5,70,europe
25,4,87,2672,17.5,70,europe
21,6,90,2648,15,70,usa
10,8,215,4615,14,70,usa
11,8,210,4382,13.5,70,usa
9,8,193,4732,18.5,70,usa
27,4,88,2130,14.5,71,japan
28,4,90,2264,15.5,71,usa
25,4,95,2228,14,71,japan
19,6,100,2634,13,71,usa
16,6,105,3439,15.5,71,usa
14,8,153,4154,13.5,71,usa
14,8,150,4096,13,71,usa
12,8,180,4955,11.5,71,usa
13,8,170,4746,12,71,usa
13,8,175,5140,12,71,usa
28,4,90,2123,14,71,europe
30,4,76,2065,14.5,71,europe
35,4,69,1613,18,71,japan
27,4,60,1834,19,71,europe
26,4,70,1955,20.5,71,usa
24,4,95,2278,15.5,72,japan
25,4,80,2126,17,72,usa
23,4,54,2254,23.5,72,europe
20,4,90,2408,19.5,72,usa
21,4,86,2226,16.5,72,usa
17,8,150,3672,11.5,72,usa
11,8,208,4633,11,72,usa
13,8,155,4502,13.5,72,usa
19,3,97,2330,13.5,72,japan
15,8,150,3892,12.5,72,usa
13,8,130,4098,14,72,usa
14,8,150,4077,14,72,usa
18,4,112,2933,14.5,72,europe
22,4,76,2511,18,72,europe
22,4,86,2395,16,72,usa
28,4,80,2164,15,72,usa
27,4,88,2100,16.5,72,japan
13,8,175,4100,13,73,usa
14,8,150,3672,11.5,73,usa
13,8,145,3988,13,73,usa
13,8,158,4363,13,73,usa
14,8,150,4237,14.5,73,usa
13,8,215,4735,11,73,usa
12,8,225,4951,11,73,usa
18,6,88,3021,16.5,73,usa
23,6,95,2904,16,73,usa
26,4,46,1950,21,73,europe
11,8,150,4997,14,73,usa
12,8,167,4906,12.5,73,usa
13,8,170,4654,13,73,usa
12,8,180,4499,12.5,73,usa
20,4,88,2279,19,73,japan
21,4,72,2401,19.5,73,usa
18,3,90,2124,13.5,73,japan
19,4,85,2310,18.5,73,usa
21,6,107,2472,14,73,usa
26,4,90,2265,15.5,73,europe
15,8,145,4082,13,73,usa
16,8,230,4278,9.5,73,usa
29,4,49,1867,19.5,73,europe
19,4,112,2868,15.5,73,europe
15,8,150,3399,11,73,usa
24,4,110,2660,14,73,europe
20,6,122,2807,13.5,73,japan
11,8,180,3664,11,73,usa
20,6,95,3102,16.5,74,usa
19,6,100,2901,16,74,usa
31,4,67,1950,19,74,japan
26,4,80,2451,16.5,74,usa
32,4,65,1836,21,74,japan
25,4,75,2542,17,74,usa
16,6,100,3781,17,74,usa
16,6,110,3632,18,74,usa
14,8,150,4457,13.5,74,usa
14,8,150,4257,15.5,74,usa
29,4,83,2219,16.5,74,europe
26,4,78,2300,14.5,74,europe
32,4,61,2003,19,74,japan
28,4,75,2125,14.5,74,usa
24,4,75,2108,15.5,74,europe
26,4,75,2246,14,74,europe
26,4,93,2391,15.5,74,japan
31,4,67,2000,16,74,europe
19,6,95,3264,16,75,usa
18,6,105,3459,16,75,usa
15,6,72,3432,21,75,usa
15,6,72,3158,19.5,75,usa
16,8,170,4668,11.5,75,usa
15,8,145,4440,14,75,usa
18,6,95,3785,19,75,usa
13,8,129,3169,12,75,usa
29,4,75,2171,16,75,japan
23,4,83,2639,17,75,usa
20,6,100,2914,16,75,usa
23,4,78,2592,18.5,75,usa
24,4,96,2702,13.5,75,japan
18,6,97,2984,14.5,75,usa
29,4,70,1937,14,75,europe
19,6,90,3211,17,75,usa
23,4,88,2957,17,75,europe
28,4,86,2464,15.5,76,europe
25,4,92,2572,14.9,76,usa
26,4,79,2255,17.7,76,usa
27,4,83,2202,15.3,76,europe
17.5,8,140,4215,13,76,usa
16,8,150,4190,13,76,usa
14.5,8,152,4215,12.8,76,usa
22,6,100,3233,15.4,76,usa
22.5,6,90,3085,17.6,76,usa
29,4,52,2035,22.2,76,usa
24.5,4,60,2164,22.1,76,usa
29,4,70,1937,14.2,76,europe
33,4,53,1795,17.4,76,japan
20,6,100,3651,17.7,76,usa
18,6,78,3574,21,76,usa
18.5,6,110,3645,16.2,76,usa
17.5,6,95,3193,17.8,76,usa
29.5,4,71,1825,12.2,76,europe
26.5,4,72,2565,13.6,76,usa
20,4,102,3150,15.7,76,europe
13,8,150,3940,13.2,76,usa
19,4,88,3270,21.9,76,europe
19,6,108,2930,15.5,76,japan
16.5,6,120,3820,16.7,76,europe
16.5,8,180,4380,12.1,76,usa
13,8,145,4055,12,76,usa
13,8,130,3870,15,76,usa
13,8,150,3755,14,76,usa
31.5,4,68,2045,18.5,77,japan
30,4,80,2155,14.8,77,usa
36,4,58,1825,18.6,77,europe
25.5,4,96,2300,15.5,77,usa
33.5,4,70,1945,16.8,77,japan
17.5,8,145,3880,12.5,77,usa
17,8,110,4060,19,77,usa
15.5,8,145,4140,13.7,77,usa
17.5,6,110,3520,16.4,77,usa
20.5,6,105,3425,16.9,77,usa
19,6,100,3630,17.7,77,usa
15.5,8,170,4165,11.4,77,usa
