age,job,education,loan,contact,duration,pdays
56,housemaid,basic.4y,no,telephone,261,999
57,services,high.school,no,telephone,149,999
37,services,high.school,no,telephone,226,999
40,admin,basic.6y,no,telephone,151,999
56,services,high.school,yes,telephone,307,999
45,services,basic.9y,no,telephone,198,999
59,admin,professional.course,no,telephone,139,999
41,blue-collar,unknown,no,telephone,217,999
24,technician,professional.course,no,telephone,380,999
25,services,high.school,no,telephone,50,999
41,blue-collar,unknown,no,telephone,55,999
42,technician,professional.course,unknown,telephone,529,999
43,management,professional.course,no,telephone,310,999
31,admin,high.school,no,telephone,47,999
29,admin,university.degree,no,telephone,379,999
57,blue-collar,basic.4y,no,telephone,30,999
44,blue-collar,basic.9y,no,telephone,472,999
59,unknown,unknown,no,telephone,113,999
39,blue-collar,basic.4y,no,telephone,114,999
33,management,university.degree,yes,telephone,70,999
33,management,university.degree,no,telephone,21,999
59,management,university.degree,no,telephone,659,999
55,technician,basic.9y,no,telephone,327,999
53,blue-collar,basic.9y,no,telephone,267,999
36,services,basic.6y,no,telephone,296,999
40,services,high.school,no,telephone,307,999
37,technician,professional.course,no,telephone,120,999
56,housemaid,high.school,no,telephone,390,999
32,admin,high.school,no,telephone,83,999
38,management,basic.9y,no,telephone,772,999
28,services,high.school,no,telephone,143,999
30,blue-collar,basic.9y,no,telephone,198,999
45,management,basic.4y,no,telephone,100,999
60,housemaid,high.school,no,telephone,929,999
32,student,university.degree,no,telephone,21,999
39,unemployed,basic.9y,no,telephone,254,999
56,services,basic.4y,yes,telephone,166,999
31,blue-collar,basic.9y,no,telephone,93,999
20,entrepreneur,high.school,no,telephone,217,999
42,blue-collar,basic.6y,no,telephone,134,999
46,admin,university.degree,yes,telephone,375,999
28,technician,university.degree,no,telephone,352,999
41,admin,university.degree,no,telephone,45,999
33,admin,basic.9y,no,telephone,93,999
43,admin,university.degree,no,telephone,165,999
43,admin,university.degree,no,telephone,266,999
47,unemployed,high.school,no,telephone,237,999
24,technician,professional.course,no,telephone,410,999
31,blue-collar,basic.4y,no,telephone,157,999
25,services,high.school,no,telephone,72,999
35,blue-collar,basic.6y,unknown,telephone,171,999
58,blue-collar,basic.4y,no,telephone,70,999
35,blue-collar,professional.course,yes,telephone,710,999
35,blue-collar,basic.9y,no,telephone,131,999
25,admin,high.school,no,telephone,498,999
36,housemaid,basic.4y,no,telephone,152,999
35,blue-collar,basic.4y,no,telephone,130,999
40,blue-collar,basic.6y,yes,telephone,21,999
26,admin,high.school,no,telephone,118,999
40,technician,university.degree,no,telephone,113,999
45,management,university.degree,no,telephone,369,999
39,entrepreneur,high.school,unknown,telephone,122,999
26,admin,high.school,yes,telephone,445,999
41,technician,university.degree,no,telephone,47,999
48,housemaid,basic.6y,no,telephone,425,999
32,admin,high.school,no,telephone,142,999
47,admin,professional.course,no,telephone,317,999
51,blue-collar,basic.4y,yes,telephone,184,999
55,blue-collar,professional.course,yes,telephone,354,999
37,admin,university.degree,no,telephone,82,999
52,services,high.school,no,telephone,105,999
47,management,university.degree,yes,telephone,83,999
33,blue-collar,basic.9y,no,telephone,209,999
53,admin,university.degree,no,telephone,53,999
57,housemaid,basic.4y,no,telephone,210,999
53,services,high.school,no,telephone,381,999
25,admin,unknown,no,telephone,112,999
26,admin,high.school,no,telephone,278,999
46,management,university.degree,no,telephone,183,999
58,retired,high.school,no,telephone,389,999
56,technician,university.degree,yes,telephone,69,999
52,technician,high.school,unknown,telephone,24,999
43,technician,professional.course,no,telephone,143,999
36,technician,professional.course,no,telephone,302,999
45,blue-collar,high.school,no,telephone,68,999
36,blue-collar,basic.6y,no,telephone,183,999
55,admin,unknown,no,telephone,49,999
29,blue-collar,basic.4y,no,telephone,148,999
48,blue-collar,basic.4y,no,telephone,481,999
42,services,high.school,no,telephone,45,999
47,admin,university.degree,no,telephone,121,999
45,technician,professional.course,no,telephone,180,999
25,blue-collar,basic.9y,no,telephone,283,999
41,services,basic.9y,no,telephone,312,999
51,technician,professional.course,yes,telephone,147,999
41,technician,university.degree,no,telephone,178,999
40,blue-collar,basic.9y,no,telephone,154,999
33,services,high.school,no,telephone,326,999
28,admin,university.degree,no,telephone,362,999
27,admin,basic.9y,no,telephone,72,999
25,admin,university.degree,no,telephone,121,999
45,admin,unknown,no,telephone,1068,999
55,blue-collar,basic.9y,no,telephone,101,999
49,blue-collar,basic.9y,no,telephone,210,999
39,admin,unknown,no,telephone,163,999
53,management,university.degree,no,telephone,306,999
53,unknown,high.school,no,telephone,313,999
31,blue-collar,basic.9y,no,telephone,94,999
39,admin,university.degree,no,telephone,658,999
55,admin,high.school,yes,telephone,250,999
38,blue-collar,basic.9y,no,telephone,493,999
32,blue-collar,basic.4y,no,telephone,23,999
34,blue-collar,high.school,no,telephone,562,999
54,admin,high.school,no,telephone,490,999
54,management,university.degree,yes,telephone,140,999
47,management,university.degree,yes,telephone,302,999
29,services,high.school,yes,telephone,46,999
36,admin,university.degree,no,telephone,149,999
37,services,high.school,no,telephone,88,999
41,admin,high.school,no,telephone,118,999
26,blue-collar,basic.9y,no,telephone,230,999
25,self-employed,university.degree,no,telephone,426,999
60,management,university.degree,no,telephone,403,999
40,entrepreneur,university.degree,no,telephone,169,999
40,technician,professional.course,no,telephone,123,999
36,management,university.degree,no,telephone,221,999
38,admin,high.school,no,telephone,169,999
28,blue-collar,high.school,no,telephone,102,999
25,technician,university.degree,no,telephone,214,999
45,management,university.degree,no,telephone,572,999
44,blue-collar,basic.9y,no,telephone,147,999
51,management,unknown,yes,telephone,124,999
39,admin,university.degree,no,telephone,105,999
33,self-employed,university.degree,no,telephone,171,999
49,unknown,unknown,no,telephone,498,999
36,blue-collar,basic.4y,no,telephone,50,999
39,self-employed,university.degree,yes,telephone,31,999
55,blue-collar,basic.4y,yes,telephone,266,999
48,blue-collar,basic.4y,no,telephone,163,999
33,admin,university.degree,yes,telephone,304,999
58,blue-collar,basic.4y,no,telephone,469,999
36,housemaid,basic.6y,no,telephone,45,999
28,admin,university.degree,no,telephone,249,999
37,admin,university.degree,no,telephone,85,999
45,technician,university.degree,no,telephone,79,999
43,technician,professional.course,no,telephone,70,999
30,blue-collar,professional.course,no,telephone,758,999
34,services,professional.course,no,telephone,466,999
39,blue-collar,basic.9y,no,telephone,200,999
35,admin,university.degree,no,telephone,87,999
33,admin,high.school,no,telephone,966,999
33,services,university.degree,no,telephone,747,999
37,blue-collar,basic.9y,no,telephone,430,999
39,services,high.school,no,telephone,241,999
49,technician,professional.course,no,telephone,147,999
39,blue-collar,basic.9y,no,telephone,131,999
57,blue-collar,basic.4y,no,telephone,332,999
34,entrepreneur,professional.course,no,telephone,76,999
28,services,high.school,no,telephone,406,999
35,admin,university.degree,yes,telephone,544,999
35,self-employed,basic.9y,no,telephone,363,999
50,blue-collar,basic.9y,no,telephone,756,999
45,blue-collar,basic.6y,no,telephone,117,999
40,entrepreneur,basic.4y,no,telephone,76,999
41,management,basic.6y,yes,telephone,271,999
58,admin,professional.course,no,telephone,203,999
36,blue-collar,university.degree,no,telephone,338,999
36,admin,university.degree,no,telephone,70,999
37,admin,university.degree,no,telephone,198,999
37,technician,high.school,no,telephone,398,999
42,admin,high.school,no,telephone,956,999
54,technician,professional.course,yes,telephone,76,999
39,blue-collar,basic.4y,no,telephone,264,999
39,admin,university.degree,no,telephone,979,999
30,blue-collar,basic.4y,no,telephone,89,999
39,entrepreneur,high.school,no,telephone,135,999
40,services,high.school,no,telephone,420,999
37,technician,high.school,no,telephone,548,999
52,unemployed,high.school,no,telephone,235,999
56,admin,unknown,no,telephone,87,999
43,blue-collar,basic.6y,no,telephone,169,999
31,management,high.school,yes,telephone,343,999
42,unemployed,professional.course,no,telephone,88,999
26,admin,basic.4y,yes,telephone,68,999
39,services,high.school,no,telephone,77,999
42,management,basic.9y,no,telephone,116,999
44,services,high.school,no,telephone,363,999
30,blue-collar,basic.9y,no,telephone,116,999
42,blue-collar,basic.6y,no,telephone,311,999
45,unknown,unknown,yes,telephone,138,999
44,entrepreneur,basic.4y,no,telephone,48,999
44,blue-collar,high.school,no,telephone,390,999
28,management,high.school,no,telephone,61,999
45,blue-collar,basic.4y,yes,telephone,65,999
35,unemployed,basic.4y,yes,telephone,637,999
37,technician,university.degree,no,telephone,117,999
24,admin,university.degree,no,telephone,128,999
30,technician,university.degree,no,telephone,130,999
43,blue-collar,basic.6y,yes,telephone,193,999
32,technician,professional.course,no,telephone,269,999
36,admin,high.school,no,telephone,150,999
44,admin,high.school,no,telephone,132,999
46,blue-collar,basic.6y,no,telephone,1208,999
45,management,university.degree,no,telephone,228,999
29,technician,university.degree,yes,telephone,585,999
51,blue-collar,basic.4y,no,telephone,334,999
37,blue-collar,university.degree,no,telephone,229,999
55,housemaid,university.degree,no,telephone,441,999
38,blue-collar,basic.6y,no,telephone,60,999
59,admin,university.degree,no,telephone,47,999
32,self-employed,professional.course,no,telephone,235,999
58,blue-collar,high.school,no,telephone,270,999
32,blue-collar,basic.9y,no,telephone,192,999
54,blue-collar,high.school,yes,telephone,26,999
38,unemployed,basic.9y,no,telephone,89,999
49,blue-collar,basic.4y,no,telephone,61,999
43,services,high.school,no,telephone,386,999
36,admin,high.school,no,telephone,54,999
52,admin,university.degree,no,telephone,272,999
43,technician,professional.course,unknown,telephone,35,999
28,admin,high.school,no,telephone,284,999
46,technician,professional.course,no,telephone,53,999
42,housemaid,unknown,no,telephone,311,999
31,blue-collar,basic.9y,yes,telephone,245,999
38,blue-collar,basic.9y,yes,telephone,151,999
50,services,high.school,yes,telephone,64,999
39,services,high.school,no,telephone,205,999
34,technician,university.degree,no,telephone,250,999
30,management,university.degree,no,telephone,66,999
51,technician,high.school,yes,telephone,137,999
43,admin,high.school,no,telephone,30,999
26,admin,high.school,no,telephone,72,999
35,admin,university.degree,no,telephone,284,999
24,entrepreneur,university.degree,yes,telephone,126,999
51,blue-collar,basic.4y,no,telephone,120,999
31,unemployed,basic.4y,no,telephone,48,999
45,entrepreneur,university.degree,no,telephone,262,999
30,student,university.degree,no,telephone,1062,999
46,unemployed,basic.9y,no,telephone,283,999
44,admin,high.school,no,telephone,295,999
26,blue-collar,unknown,yes,telephone,203,999
38,blue-collar,basic.6y,no,telephone,37,999
30,admin,university.degree,yes,telephone,18,999
33,blue-collar,basic.9y,no,telephone,18,999
31,blue-collar,basic.9y,no,telephone,350,999
47,blue-collar,basic.4y,no,telephone,190,999
57,retired,unknown,no,telephone,54,999
36,blue-collar,high.school,no,telephone,835,999
30,services,high.school,no,telephone,421,999
40,blue-collar,basic.9y,unknown,telephone,104,999
32,services,professional.course,unknown,telephone,164,999
45,entrepreneur,unknown,no,telephone,89,999
29,technician,high.school,no,telephone,112,999
37,management,university.degree,no,telephone,744,999
45,blue-collar,unknown,no,telephone,503,999
48,technician,professional.course,no,telephone,321,999
35,admin,basic.9y,no,telephone,24,999
34,admin,university.degree,no,telephone,102,999
42,technician,basic.6y,no,telephone,261,999
32,admin,high.school,no,telephone,213,999
31,technician,professional.course,no,telephone,371,999
38,admin,university.degree,no,telephone,190,999
30,blue-collar,basic.6y,no,telephone,114,999
54,housemaid,basic.4y,no,telephone,221,999
38,admin,basic.9y,no,telephone,247,999
25,blue-collar,basic.9y,no,telephone,680,999
25,services,professional.course,no,telephone,185,999
51,unemployed,university.degree,yes,telephone,110,999
35,blue-collar,basic.4y,no,telephone,172,999
28,admin,university.degree,no,telephone,156,999
47,services,high.school,unknown,telephone,347,999
35,technician,professional.course,no,telephone,394,999
51,blue-collar,basic.9y,no,telephone,573,999
28,technician,university.degree,no,telephone,262,999
34,services,basic.9y,no,telephone,37,999
27,blue-collar,basic.4y,no,telephone,72,999
31,services,high.school,no,telephone,417,999
35,technician,professional.course,no,telephone,1528,999
56,management,university.degree,no,telephone,154,999
31,services,basic.6y,no,telephone,533,999
41,blue-collar,basic.4y,no,telephone,122,999
58,blue-collar,basic.4y,no,telephone,23,999
38,blue-collar,basic.6y,yes,telephone,82,999
47,services,high.school,yes,telephone,55,999
46,blue-collar,basic.4y,no,telephone,67,999
56,retired,high.school,no,telephone,83,999
47,services,high.school,no,telephone,311,999
33,admin,high.school,yes,telephone,113,999
55,technician,professional.course,no,telephone,59,999
47,services,high.school,no,telephone,551,999
56,retired,high.school,no,telephone,367,999
32,blue-collar,high.school,no,telephone,220,999
41,blue-collar,basic.6y,no,telephone,15,999
52,self-employed,professional.course,yes,telephone,56,999
43,blue-collar,basic.4y,no,telephone,173,999
29,admin,high.school,yes,telephone,97,999
41,admin,high.school,no,telephone,199,999
23,blue-collar,professional.course,no,telephone,94,999
51,blue-collar,unknown,no,telephone,15,999
36,services,high.school,no,telephone,142,999
51,blue-collar,unknown,no,telephone,220,999
35,technician,professional.course,no,telephone,417,999
43,blue-collar,basic.6y,no,telephone,192,999
32,services,high.school,no,telephone,443,999
41,services,basic.9y,no,telephone,115,999
43,self-employed,university.degree,yes,telephone,1487,999
54,retired,basic.4y,no,telephone,68,999
25,admin,high.school,no,telephone,54,999
36,admin,high.school,no,telephone,159,999
36,admin,high.school,no,telephone,335,999
42,admin,university.degree,no,telephone,104,999
35,entrepreneur,professional.course,no,telephone,236,999
50,management,university.degree,no,telephone,300,999
42,admin,university.degree,no,telephone,163,999
32,admin,high.school,no,telephone,156,999
32,admin,high.school,no,telephone,103,999
51,services,high.school,yes,telephone,269,999
39,blue-collar,basic.9y,no,telephone,187,999
38,blue-collar,basic.9y,no,telephone,41,999
43,blue-collar,basic.6y,no,telephone,1540,999
39,blue-collar,basic.9y,no,telephone,310,999
41,services,basic.9y,no,telephone,147,999
34,admin,high.school,yes,telephone,129,999
36,admin,high.school,yes,telephone,208,999
28,services,high.school,no,telephone,124,999
49,housemaid,basic.4y,no,telephone,67,999
31,blue-collar,basic.9y,no,telephone,1218,999
25,housemaid,basic.4y,no,telephone,362,999
29,management,university.degree,no,telephone,973,999
56,blue-collar,basic.4y,no,telephone,36,999
54,blue-collar,basic.4y,yes,telephone,138,999
31,admin,high.school,no,telephone,132,999
34,blue-collar,professional.course,no,telephone,1009,999
27,technician,university.degree,yes,telephone,55,999
31,admin,high.school,no,telephone,105,999
51,blue-collar,unknown,unknown,telephone,339,999
28,admin,university.degree,no,telephone,355,999
28,management,basic.9y,no,telephone,466,999
26,blue-collar,basic.4y,no,telephone,94,999
25,services,high.school,no,telephone,227,999
39,technician,professional.course,yes,telephone,65,999
28,blue-collar,basic.9y,no,telephone,387,999
33,admin,university.degree,no,telephone,379,999
39,technician,professional.course,no,telephone,401,999
55,management,basic.4y,no,telephone,205,999
