MOVIE,Company1_RATING,Company1_USER_RATING,Company2_RATING,Company2_USER_RATING,Company2_USER_RATING_COUNT,Company3_RATING,Company3_USER_RATING_COUNT
Movie9 (2015),74,86,66,7.1,1330,7.8,271107
Movie11 (2015),85,80,67,7.5,249,7.1,65709
Movie12 (2015),80,90,64,8.1,627,7.8,103660
Movie71 (2015),18,84,22,4.7,31,5.4,3136
Movie86 (2015),14,28,29,3.4,88,5.1,19560
Movie111 (2015),63,62,50,6.8,34,7.2,39373
Movie119 (2015),42,53,53,7.6,17,6.9,2680
Movie51 (2014),86,64,81,6.8,124,6.5,16876
Movie90 (2015),99,82,81,8.8,62,7.4,12227
Movie91 (2015),89,87,80,8.5,54,7.8,5367
Movie95 (2015),84,77,71,7.5,35,7.2,12129
Movie123 (2015),82,60,62,6.6,37,6.4,16547
Movie162 (2014),99,79,92,7.2,145,7.7,22521
Movie15 (2014),51,70,59,6.5,218,7.2,77518
Movie22 (2014),90,92,73,8.2,566,8.1,334164
Movie27 (2015),9,46,26,4.6,240,6.1,104235
Movie29 (2015),46,58,48,6.5,197,6.6,49102
Movie33 (2015),59,80,57,8.2,128,7.8,23561
Movie34 (2014),50,58,47,5.8,103,6.3,50291
Movie42 (2015),17,54,27,5.3,246,5.6,19521
Movie48 (2015),79,89,60,7.2,59,7.5,13769
Movie50 (2015),59,56,52,6.9,115,6.3,25134
Movie55 (2015),68,80,55,7.9,144,7.6,22104
Movie65 (2015),60,59,59,7.3,141,6.6,50438
Movie18 (2015),85,74,75,6,169,6.7,27380
Movie25 (2014),99,86,89,7.1,316,7.5,45344
Movie46 (2015),92,86,78,7.9,672,7.7,154499
Movie80 (2015),88,85,72,7.8,153,7.5,57123
Movie120 (2014),96,92,77,8.8,107,8.2,50285
Movie136 (2015),92,89,84,7.5,19,7.9,1320
Movie179 (2015),96,86,82,7.4,11,7.7,2275
Movie188 (2015),89,89,71,6.4,29,7.8,4160
Movie196 (2015),92,72,77,7.8,6,7.5,1196
Movie53 (2015),10,35,30,5.5,75,4.6,19658
Movie61 (2015),19,31,40,4,67,5.5,12255
Movie93 (2015),11,40,24,2.4,80,6.3,21319
Movie150 (2015),52,47,55,6.8,6,6.1,2174
Movie176 (2015),71,47,67,6.9,33,5.9,8301
Movie193 (2015),51,45,52,6.8,8,6.3,2196
Movie207 (2015),60,46,67,5.8,46,6.3,22440
Movie116 (2015),94,70,75,6.9,14,6.9,1151
Movie152 (2015),99,78,91,6.9,37,7.2,6246
Movie194 (2015),97,86,87,9.6,23,8.2,20659
Movie203 (2015),95,81,87,6.3,18,7,1107
Movie7 (2015),75,84,58,7.9,1054,7.8,272204
Movie21 (2015),50,53,60,6.4,262,6.6,42937
Movie24 (2015),30,61,42,5.4,206,6.4,89618
Movie26 (2014),27,61,33,4.8,108,5.2,19222
Movie30 (2015),9,20,27,2.5,421,4,39838
Movie31 (2015),26,60,38,6.4,779,6.9,85585
Movie36 (2015),67,68,63,5.7,192,6.7,56333
Movie38 (2015),32,68,38,5.2,96,7.1,21914
Movie49 (2015),54,68,51,7.4,100,7.3,45510
Movie57 (2015),8,37,31,3.7,78,4.9,17061
Movie62 (2015),71,68,56,6.4,69,6.6,33594
Movie69 (2015),39,68,45,7.9,24,6.6,4857
Movie70 (2015),34,46,47,5.4,95,6.4,40057
Movie75 (2015),64,53,54,7,37,6.2,1769
Movie81 (2015),12,35,30,3.9,126,5.5,41177
Movie82 (2015),12,30,27,3.2,144,5.5,31878
Movie92 (2015),11,27,32,3.8,39,5.4,14346
Movie100 (2015),46,52,50,6.8,42,6.5,3017
Movie102 (2015),45,41,50,5.7,37,6.3,16069
Movie114 (2015),26,44,41,5.3,73,6.4,19220
Movie178 (2015),26,33,39,7.9,18,6.3,9856
Movie39 (2014),92,78,88,8,1171,7.9,303505
Movie56 (2015),93,79,77,8.3,121,7.6,10891
Movie59 (2015),60,39,59,5.8,130,5.9,22348
Movie98 (2015),94,77,72,7.5,15,7.3,883
Movie115 (2014),98,56,94,6.6,98,6.9,13296
Movie199 (2015),100,87,83,6,4,7.7,243
Movie204 (2015),93,84,67,7,4,7.8,732
Movie3 (2015),72,85,72,6.6,850,7.4,251856
Movie4 (2015),81,84,67,6.8,764,7.4,207211
Movie6 (2014),61,75,59,7,903,7.5,289464
Movie14 (2015),50,58,43,5.5,199,6.5,45723
Movie20 (2015),90,94,72,7.3,90,8.4,15982
Movie43 (2015),27,55,34,6.2,72,6.3,8179
Movie45 (2015),30,57,41,7.4,637,7,125088
Movie54 (2015),31,24,47,3.7,142,5,21372
Movie72 (2015),55,57,56,6.2,51,6.9,14156
Movie74 (2014),72,69,62,7.5,127,7,39152
Movie76 (2015),34,25,51,5.4,80,5.4,27328
Movie77 (2015),20,51,34,8.4,77,6.6,5626
Movie88 (2015),13,34,31,5,37,5.5,3200
Movie94 (2015),20,81,30,5.9,38,7.4,5927
Movie101 (2015),81,89,74,8.4,41,8.2,5269
Movie144 (2015),54,32,52,6.5,90,5.6,18986
Movie13 (2015),97,88,89,8.7,2375,8.3,292023
Movie16 (2015),93,82,75,6.3,318,7.3,66636
Movie37 (2015),78,55,62,6.5,196,6.1,26046
Movie41 (2015),98,81,77,8.2,149,7.2,38593
Movie63 (2015),87,86,72,7.2,43,7.5,4911
Movie118 (2015),96,86,75,8.3,69,7.6,39561
Movie141 (2015),82,65,65,8.6,13,6.9,867
Movie147 (2015),96,90,83,7.8,13,8.4,6605
Movie159 (2014),99,92,86,8.2,62,8.2,14067
Movie1 (2015),25,42,46,3.2,778,4.2,179506
Movie32 (2015),29,48,34,3.8,145,6.1,50022
Movie35 (2015),57,54,56,6.2,167,6.6,101264
Movie40 (2015),26,40,40,4.5,503,5.5,105412
Movie67 (2015),16,27,30,7,80,4.4,5511
Movie68 (2015),62,63,51,6.1,41,6.6,12940
Movie83 (2015),17,50,25,5.3,41,5.7,3658
Movie87 (2015),17,34,39,4.3,49,5.8,16663
Movie89 (2015),7,49,28,3.3,67,5.9,4260
Movie106 (2015),49,47,49,6.4,44,6.5,19627
Movie125 (2015),13,21,37,5.4,5,4.6,952
Movie148 (2015),40,47,51,7,7,6.4,4778
Movie166 (2015),67,69,58,4.6,5,7.1,17237
Movie187 (2015),52,52,56,6.9,7,6.6,7819
