MOVIE,STARS,RATING,RATING_COUNT
Movie1 (2015),4,3.9,34846
Movie2 (2015),4.5,4.5,34390
Movie3 (2015),5,4.8,34085
Movie4 (2015),5,4.8,33538
Movie5 (2015),4.5,4.5,15749
Movie6 (2014),4.5,4.3,15337
Movie7 (2015),4.5,4.2,15205
Movie8 (2015),4,4,14998
Movie9 (2015),5,4.5,14846
Movie10 (2014),3.5,3.4,13055
Movie11 (2015),5,4.5,12640
Movie12 (2015),5,4.5,12055
Movie13 (2015),4.5,4.3,10509
Movie14 (2015),4.5,4.3,9749
Movie15 (2014),4.5,4.1,9443
Movie16 (2015),4.5,4.3,9418
Movie17 (2015),4.5,4.4,9363
Movie18 (2015),4.5,4.1,8381
Movie19 (2015),4.5,4.4,8357
Movie20 (2015),5,4.8,8096
Movie21 (2015),4,3.7,8077
Movie22 (2014),5,4.6,8055
Movie23 (2015),4.5,4.4,7705
Movie24 (2015),4.5,4.2,7123
Movie25 (2014),5,4.6,7025
Movie26 (2014),4.5,4.2,6835
Movie27 (2015),4.5,4.1,6757
Movie28 (2015),4.5,4.4,6506
Movie29 (2015),4.5,4.1,6437
Movie30 (2015),3,2.7,6288
Movie31 (2015),4.5,4.2,6272
Movie32 (2015),4,3.9,5933
Movie33 (2015),5,4.6,5597
Movie34 (2014),4.5,4.1,5445
Movie35 (2015),4,3.9,4933
Movie36 (2015),4.5,4.2,4577
Movie37 (2015),3.5,3.3,4493
Movie38 (2015),4.5,4.2,4279
Movie39 (2014),4,3.7,4194
Movie40 (2015),3.5,3.4,4122
Movie41 (2015),4.5,4.3,4045
Movie42 (2015),4.5,4.1,3886
Movie43 (2015),4,3.8,3815
Movie44 (2015),5,4.8,3740
Movie45 (2015),4,3.8,3642
Movie46 (2015),4.5,4.1,3458
Movie47 (2015),4.5,4.5,3412
Movie48 (2015),5,4.6,3364
Movie49 (2015),4.5,4.2,3325
Movie50 (2015),4.5,4.1,3276
Movie51 (2014),4,3.5,3223
Movie52 (2015),3.5,3.5,3054
Movie53 (2015),4,3.6,2800
Movie54 (2015),3,2.8,2704
Movie55 (2015),4.5,4.1,2686
Movie56 (2015),4,3.7,2680
Movie57 (2015),4,3.7,2618
Movie58 (2015),4.5,4.5,2603
Movie59 (2015),3,2.7,2507
Movie60 (2015),4.5,4.4,2435
Movie61 (2015),3.5,3.1,2284
